year,player_id,overall_rating,attacking_work_rate,defensive_work_rate,crossing,ball_control,dribbling
2013,352887,61.0,medium,medium,48.0,61.0,54.0
2012,352887,55.0,medium,medium,47.0,56.0,51.0
2014,40005,67.0,low,medium,29.0,46.0,40.0
2013,40005,68.0,low,medium,29.0,48.0,40.0
2012,40005,70.0,low,medium,29.0,52.0,40.0
2015,409003,60.0,medium,medium,45.0,63.0,54.0
2014,409003,60.0,medium,medium,44.0,62.0,53.0
2013,409003,60.0,medium,medium,44.0,62.0,53.0
2015,37280,65.0,medium,medium,36.0,49.0,31.0
2014,37280,65.0,medium,medium,36.0,49.0,31.0
2012,37280,65.0,medium,medium,36.0,49.0,31.0
2015,439366,64.0,medium,high,46.0,58.0,57.0
2014,439366,64.0,medium,high,46.0,58.0,57.0
2013,439366,59.0,medium,high,46.0,63.0,57.0
2015,148827,69.0,high,medium,70.0,73.0,54.0
2014,148827,67.0,high,medium,55.0,73.0,51.0
2013,148827,66.0,high,low,54.0,66.0,50.0
2012,148827,65.0,high,low,54.0,66.0,55.0
2013,173011,63.0,medium,medium,67.0,62.0,59.0
2012,173011,63.0,medium,medium,67.0,62.0,59.0
2015,419681,66.0,medium,medium,46.0,64.0,63.0
2015,196947,72.0,medium,low,56.0,75.0,74.0
2014,196947,71.0,medium,low,55.0,74.0,73.0
2013,196947,71.0,medium,low,40.0,65.0,65.0
2012,196947,70.0,medium,low,40.0,61.0,56.0
2015,89405,66.0,medium,high,48.0,63.0,55.0
2014,89405,56.0,medium,medium,47.0,56.0,54.0
2013,89405,58.0,medium,high,47.0,60.0,58.0
2012,89405,57.0,low,low,47.0,55.0,51.0
2015,324910,78.0,high,medium,80.0,77.0,76.0
2014,324910,70.0,high,medium,79.0,73.0,75.0
2013,324910,68.0,medium,medium,64.0,70.0,67.0
2012,324910,61.0,medium,medium,58.0,64.0,65.0
2014,67952,64.0,medium,medium,50.0,71.0,73.0
2013,67952,66.0,medium,medium,51.0,71.0,73.0
2012,67952,64.0,medium,medium,51.0,71.0,75.0
2012,31012,82.0,medium,medium,75.0,83.0,86.0
2013,176301,57.0,medium,low,47.0,64.0,67.0
2012,176301,57.0,medium,low,47.0,64.0,67.0
2015,307227,64.0,medium,high,36.0,49.0,38.0
2014,307227,63.0,medium,high,35.0,48.0,37.0
2013,307227,65.0,medium,high,35.0,48.0,37.0
2012,307227,61.0,medium,medium,35.0,44.0,37.0
2015,525595,71.0,high,high,70.0,70.0,65.0
2015,24385,73.0,low,high,57.0,70.0,65.0
2014,24385,73.0,medium,medium,56.0,70.0,64.0
2013,24385,77.0,medium,high,56.0,76.0,63.0
2012,24385,76.0,medium,medium,56.0,76.0,63.0
2015,29904,70.0,medium,medium,63.0,75.0,64.0
2014,29904,73.0,medium,low,63.0,75.0,65.0
2013,29904,67.0,medium,low,63.0,61.0,58.0
2012,29904,70.0,medium,low,65.0,71.0,69.0
2015,105548,73.0,medium,low,47.0,73.0,71.0
2014,105548,72.0,medium,low,46.0,73.0,70.0
2013,105548,73.0,medium,low,47.0,74.0,71.0
2012,105548,75.0,medium,low,48.0,76.0,72.0
2015,172875,69.0,medium,medium,68.0,65.0,69.0
2014,172875,69.0,medium,medium,68.0,65.0,69.0
2013,172875,69.0,medium,medium,68.0,65.0,69.0
2012,172875,68.0,medium,medium,68.0,63.0,68.0
2015,302985,61.0,medium,medium,58.0,61.0,75.0
2014,302985,61.0,medium,medium,58.0,61.0,75.0
2013,302985,61.0,medium,medium,58.0,61.0,75.0
2012,302985,61.0,medium,medium,58.0,61.0,75.0
2015,240556,69.0,high,medium,63.0,64.0,66.0
2014,240556,66.0,high,medium,62.0,63.0,65.0
2013,240556,66.0,high,medium,62.0,63.0,65.0
2012,240556,67.0,high,medium,66.0,64.0,66.0
2015,37422,72.0,high,medium,82.0,66.0,62.0
2014,37422,72.0,high,medium,81.0,65.0,61.0
2013,37422,73.0,high,medium,81.0,70.0,68.0
2012,37422,74.0,high,medium,81.0,74.0,71.0
2015,114503,67.0,medium,low,43.0,58.0,61.0
2014,114503,69.0,medium,low,42.0,66.0,68.0
2012,114503,68.0,medium,low,45.0,65.0,68.0
2015,27277,75.0,medium,medium,69.0,80.0,79.0
2014,27277,76.0,medium,medium,72.0,81.0,83.0
2013,27277,77.0,medium,medium,72.0,83.0,84.0
2012,27277,76.0,medium,medium,72.0,82.0,83.0
2015,581141,61.0,medium,medium,33.0,61.0,63.0
2014,581141,60.0,medium,medium,32.0,60.0,62.0
2015,80592,65.0,None,1,56.0,62.0,66.0
2014,80592,67.0,None,1,56.0,66.0,68.0
2013,80592,67.0,None,1,56.0,65.0,68.0
2015,165706,73.0,medium,medium,69.0,73.0,60.0
2014,165706,71.0,medium,low,68.0,71.0,59.0
2013,165706,71.0,medium,low,68.0,71.0,59.0
2012,165706,67.0,medium,low,68.0,68.0,59.0
2013,210453,68.0,high,medium,44.0,67.0,68.0
2012,210453,68.0,high,medium,44.0,67.0,68.0
2014,208635,65.0,medium,high,46.0,58.0,47.0
2013,208635,65.0,medium,high,46.0,58.0,47.0
2012,208635,61.0,medium,high,46.0,53.0,43.0
2015,213695,72.0,high,medium,69.0,72.0,71.0
2014,213695,73.0,high,medium,76.0,73.0,70.0
2013,213695,73.0,high,medium,78.0,73.0,75.0
2012,213695,69.0,high,medium,72.0,67.0,65.0
2013,33715,66.0,high,medium,49.0,66.0,50.0
2012,33715,68.0,high,medium,49.0,66.0,50.0
2015,41489,61.0,medium,medium,25.0,22.0,25.0
2014,41489,61.0,medium,medium,25.0,22.0,25.0
2013,41489,61.0,medium,medium,25.0,22.0,25.0
2012,41489,61.0,medium,medium,25.0,22.0,25.0
2015,25571,74.0,high,low,64.0,80.0,77.0
2014,25571,73.0,medium,low,64.0,80.0,72.0
2013,25571,73.0,medium,low,64.0,80.0,73.0
2015,660145,62.0,medium,medium,60.0,63.0,69.0
2015,293235,71.0,high,high,73.0,77.0,75.0
2014,293235,64.0,high,medium,61.0,68.0,68.0
2013,293235,53.0,high,medium,43.0,52.0,53.0
2012,293235,52.0,medium,medium,36.0,49.0,51.0
2015,26331,67.0,medium,medium,43.0,52.0,45.0
2013,26331,66.0,medium,medium,42.0,51.0,44.0
2012,26331,66.0,medium,medium,42.0,51.0,44.0
2015,495841,65.0,medium,medium,40.0,66.0,68.0
2015,519835,67.0,high,medium,45.0,64.0,67.0
2014,519835,60.0,high,medium,44.0,62.0,58.0
2014,68840,63.0,high,medium,25.0,47.0,54.0
2013,68840,64.0,high,medium,25.0,47.0,54.0
2012,68840,66.0,high,medium,25.0,49.0,54.0
2015,27534,70.0,medium,medium,49.0,65.0,57.0
2014,27534,71.0,medium,medium,50.0,67.0,59.0
2013,27534,71.0,low,high,54.0,67.0,58.0
2012,27534,68.0,medium,medium,68.0,64.0,59.0
2015,157303,73.0,medium,medium,15.0,18.0,11.0
2014,157303,70.0,medium,medium,25.0,25.0,25.0
2013,157303,72.0,medium,medium,25.0,25.0,25.0
2012,157303,73.0,medium,medium,14.0,17.0,10.0
2014,563198,52.0,medium,medium,54.0,51.0,58.0
2015,557396,61.0,medium,medium,50.0,59.0,62.0
2014,557396,51.0,medium,medium,26.0,49.0,48.0
2015,365666,62.0,high,medium,39.0,60.0,62.0
2014,365666,62.0,high,medium,39.0,60.0,62.0
2013,365666,62.0,high,medium,39.0,60.0,62.0
2012,365666,50.0,medium,medium,28.0,44.0,44.0
2015,180197,66.0,medium,medium,21.0,19.0,14.0
2014,180197,65.0,medium,medium,25.0,25.0,25.0
2013,180197,60.0,medium,medium,25.0,25.0,25.0
2012,180197,63.0,medium,medium,25.0,25.0,25.0
2014,310346,59.0,medium,medium,46.0,57.0,41.0
2013,310346,59.0,medium,medium,46.0,57.0,41.0
2012,310346,51.0,medium,medium,15.0,51.0,31.0
2015,68962,66.0,medium,medium,54.0,58.0,54.0
2014,68962,67.0,medium,medium,53.0,57.0,53.0
2013,68962,67.0,medium,medium,53.0,56.0,50.0
2012,68962,66.0,medium,medium,53.0,62.0,50.0
2015,429870,61.0,medium,medium,49.0,66.0,64.0
2014,429870,57.0,medium,medium,44.0,59.0,55.0
2013,429870,54.0,medium,medium,42.0,55.0,53.0
2014,23133,64.0,medium,medium,61.0,71.0,61.0
2013,23133,65.0,medium,medium,63.0,71.0,63.0
2012,23133,66.0,medium,medium,61.0,71.0,63.0
2015,420209,57.0,medium,medium,67.0,55.0,61.0
2014,420209,56.0,medium,medium,67.0,55.0,61.0
2013,420209,56.0,medium,medium,67.0,55.0,61.0
2013,308280,60.0,medium,medium,42.0,52.0,57.0
2012,308280,54.0,medium,medium,28.0,44.0,54.0
2015,361712,59.0,medium,medium,37.0,61.0,44.0
2014,361712,57.0,medium,medium,36.0,52.0,32.0
2013,361712,58.0,medium,medium,34.0,52.0,32.0
2015,38617,73.0,medium,medium,19.0,27.0,19.0
2014,38617,72.0,medium,medium,25.0,26.0,25.0
2013,38617,72.0,medium,medium,25.0,26.0,25.0
2012,38617,72.0,medium,medium,18.0,24.0,18.0
2015,173993,68.0,high,medium,72.0,58.0,63.0
2014,173993,64.0,high,medium,64.0,63.0,64.0
2013,173993,63.0,high,medium,65.0,59.0,64.0
2012,173993,61.0,medium,medium,62.0,55.0,51.0
2014,277313,69.0,high,low,71.0,64.0,70.0
2013,277313,69.0,high,low,71.0,64.0,70.0
2012,277313,69.0,high,low,71.0,64.0,70.0
2015,40568,65.0,medium,medium,67.0,67.0,70.0
2014,40568,68.0,medium,medium,71.0,73.0,72.0
2013,40568,68.0,medium,low,72.0,74.0,76.0
2012,40568,70.0,medium,medium,75.0,71.0,77.0
2015,281079,66.0,high,medium,57.0,63.0,65.0
2014,281079,64.0,high,medium,56.0,62.0,58.0
2013,281079,64.0,medium,medium,56.0,62.0,58.0
2012,281079,67.0,medium,medium,56.0,62.0,58.0
2015,89240,70.0,medium,medium,74.0,68.0,68.0
2014,89240,72.0,high,high,76.0,72.0,71.0
2013,89240,72.0,high,high,78.0,73.0,71.0
2012,89240,72.0,high,high,82.0,73.0,71.0
2015,24159,78.0,medium,medium,79.0,82.0,85.0
2014,24159,77.0,medium,medium,78.0,81.0,84.0
2013,24159,77.0,medium,medium,77.0,77.0,83.0
2012,24159,80.0,medium,low,80.0,83.0,87.0
2015,414208,57.0,medium,medium,43.0,61.0,56.0
2014,414208,57.0,medium,medium,43.0,61.0,56.0
2013,414208,50.0,medium,medium,43.0,44.0,46.0
2015,43317,67.0,low,medium,35.0,49.0,47.0
2014,43317,64.0,low,medium,34.0,48.0,46.0
2013,43317,63.0,low,medium,34.0,48.0,46.0
2012,43317,63.0,low,medium,34.0,48.0,46.0
2015,37234,80.0,high,medium,74.0,82.0,85.0
2014,37234,79.0,high,medium,74.0,82.0,85.0
2013,37234,79.0,high,high,75.0,82.0,84.0
2012,37234,77.0,high,medium,70.0,80.0,80.0
2015,24952,72.0,high,low,56.0,71.0,62.0
2014,24952,72.0,high,low,55.0,70.0,61.0
2013,24952,72.0,high,low,54.0,71.0,61.0
2012,24952,71.0,high,medium,54.0,71.0,62.0
2015,209372,76.0,medium,low,79.0,84.0,75.0
2014,209372,75.0,medium,low,61.0,83.0,80.0
2013,209372,77.0,high,medium,70.0,85.0,82.0
2012,209372,76.0,medium,medium,64.0,84.0,76.0
2014,69518,62.0,high,medium,36.0,44.0,33.0
2013,69518,62.0,high,medium,36.0,44.0,33.0
2012,69518,61.0,high,medium,36.0,44.0,33.0
2015,478447,69.0,high,high,65.0,72.0,73.0
2014,478447,64.0,medium,medium,64.0,66.0,65.0
2015,500502,71.0,medium,medium,76.0,69.0,66.0
2014,500502,54.0,medium,medium,53.0,47.0,50.0
2015,170593,73.0,high,medium,73.0,71.0,70.0
2014,170593,72.0,high,medium,73.0,71.0,69.0
2013,170593,72.0,high,medium,73.0,71.0,69.0
2012,170593,72.0,high,medium,74.0,72.0,67.0
2015,185336,71.0,medium,medium,58.0,72.0,68.0
2014,185336,71.0,medium,medium,58.0,73.0,71.0
2013,185336,72.0,medium,medium,58.0,73.0,71.0
2012,185336,71.0,medium,medium,58.0,72.0,71.0
2015,69249,63.0,medium,medium,72.0,60.0,59.0
2014,69249,61.0,medium,medium,68.0,59.0,58.0
2015,407308,62.0,high,low,42.0,60.0,62.0
2014,407308,61.0,high,low,41.0,59.0,61.0
2013,407308,63.0,medium,medium,39.0,60.0,61.0
2012,407308,61.0,medium,medium,39.0,58.0,56.0
2015,12245,66.0,medium,medium,44.0,59.0,55.0
2014,12245,67.0,medium,medium,43.0,65.0,58.0
2013,12245,70.0,medium,medium,43.0,65.0,58.0
2012,12245,67.0,medium,medium,43.0,63.0,57.0
2015,684978,64.0,high,medium,60.0,62.0,75.0
2015,306507,64.0,high,medium,67.0,64.0,62.0
2014,306507,64.0,high,medium,69.0,63.0,58.0
2013,306507,63.0,medium,medium,69.0,63.0,58.0
2012,306507,62.0,medium,medium,69.0,61.0,58.0
2015,73078,72.0,medium,high,43.0,61.0,51.0
2014,73078,72.0,medium,high,43.0,61.0,51.0
2013,73078,72.0,medium,high,43.0,61.0,51.0
2012,73078,72.0,medium,high,43.0,61.0,51.0
2015,31916,71.0,high,low,47.0,71.0,67.0
2014,31916,65.0,high,medium,46.0,59.0,60.0
2013,31916,63.0,high,medium,46.0,59.0,60.0
2012,31916,67.0,high,medium,46.0,65.0,65.0
2015,555649,56.0,medium,medium,58.0,61.0,59.0
2014,555649,51.0,medium,medium,31.0,47.0,51.0
2015,158861,67.0,high,high,63.0,68.0,65.0
2014,158861,68.0,high,high,62.0,72.0,65.0
2013,158861,68.0,high,high,62.0,72.0,65.0
2012,158861,65.0,medium,medium,58.0,72.0,65.0
2015,160447,70.0,high,medium,68.0,71.0,68.0
2014,160447,66.0,high,medium,67.0,70.0,64.0
2013,160447,67.0,high,medium,67.0,70.0,64.0
2012,160447,66.0,medium,medium,67.0,66.0,60.0
2015,36774,75.0,medium,medium,49.0,73.0,71.0
2014,36774,76.0,medium,medium,48.0,75.0,74.0
2013,36774,77.0,high,medium,48.0,77.0,76.0
2012,36774,74.0,medium,medium,47.0,73.0,74.0
2015,243068,66.0,high,medium,58.0,72.0,67.0
2014,243068,67.0,high,medium,57.0,71.0,66.0
2013,243068,61.0,high,medium,41.0,65.0,63.0
2012,243068,56.0,high,medium,41.0,56.0,53.0
2013,71359,66.0,medium,medium,61.0,69.0,61.0
2012,71359,66.0,medium,medium,61.0,69.0,61.0
2014,495942,52.0,medium,medium,38.0,45.0,35.0
2013,495942,51.0,medium,medium,38.0,35.0,30.0
2015,287224,66.0,medium,medium,66.0,68.0,72.0
2014,287224,65.0,medium,medium,65.0,68.0,71.0
2013,287224,62.0,medium,medium,48.0,64.0,60.0
2012,287224,61.0,medium,medium,48.0,58.0,56.0
2015,26136,64.0,medium,medium,34.0,56.0,44.0
2014,26136,68.0,medium,medium,34.0,56.0,44.0
2013,26136,72.0,low,medium,34.0,61.0,44.0
2012,26136,72.0,low,medium,34.0,61.0,44.0
2015,164360,66.0,medium,medium,53.0,52.0,44.0
2014,164360,66.0,medium,medium,52.0,53.0,43.0
2013,164360,63.0,medium,medium,52.0,48.0,43.0
2015,357881,68.0,medium,medium,59.0,50.0,47.0
2014,357881,61.0,medium,medium,56.0,49.0,46.0
2013,357881,59.0,medium,medium,36.0,32.0,38.0
2012,357881,59.0,medium,medium,36.0,32.0,38.0
2015,181211,74.0,high,medium,75.0,69.0,66.0
2014,181211,67.0,high,medium,69.0,68.0,68.0
2013,181211,62.0,high,medium,63.0,67.0,61.0
2012,181211,58.0,high,low,67.0,67.0,55.0
2015,533212,68.0,medium,medium,52.0,74.0,74.0
2014,533212,51.0,medium,medium,49.0,57.0,45.0
2015,103866,69.0,medium,low,50.0,67.0,64.0
2014,103866,69.0,medium,low,50.0,67.0,64.0
2013,103866,73.0,medium,low,50.0,68.0,65.0
2015,47394,78.0,medium,low,76.0,84.0,86.0
2014,47394,78.0,medium,low,78.0,83.0,85.0
2013,47394,78.0,medium,low,75.0,84.0,85.0
2012,47394,78.0,medium,low,73.0,84.0,86.0
2015,155738,79.0,medium,medium,73.0,84.0,82.0
2014,155738,77.0,medium,medium,68.0,83.0,82.0
2013,155738,80.0,high,medium,75.0,85.0,84.0
2012,155738,75.0,medium,low,70.0,83.0,82.0
2015,361710,80.0,medium,medium,34.0,72.0,55.0
2014,361710,75.0,medium,medium,33.0,62.0,47.0
2013,361710,73.0,medium,medium,33.0,62.0,47.0
2015,568920,67.0,high,medium,67.0,63.0,68.0
2014,568920,63.0,high,medium,63.0,62.0,67.0
2015,45816,66.0,medium,high,54.0,66.0,61.0
2014,45816,64.0,medium,high,53.0,64.0,60.0
2012,45816,63.0,medium,high,53.0,64.0,59.0
2015,37249,68.0,medium,low,67.0,72.0,73.0
2014,37249,68.0,medium,low,67.0,72.0,73.0
2013,37249,69.0,medium,low,68.0,73.0,75.0
2012,37249,72.0,medium,medium,73.0,72.0,73.0
2015,40012,71.0,high,medium,62.0,72.0,67.0
2013,40012,71.0,high,medium,62.0,72.0,67.0
2012,40012,71.0,medium,medium,58.0,72.0,67.0
2015,77741,79.0,medium,high,28.0,64.0,53.0
2014,77741,78.0,medium,high,28.0,55.0,53.0
2013,77741,81.0,high,medium,52.0,69.0,53.0
2012,77741,84.0,high,medium,52.0,69.0,53.0
2013,38612,65.0,medium,medium,62.0,69.0,66.0
2012,38612,67.0,medium,medium,62.0,70.0,68.0
2013,164115,66.0,high,medium,46.0,57.0,58.0
2012,164115,68.0,medium,medium,46.0,57.0,58.0
2015,276701,70.0,medium,medium,36.0,69.0,64.0
2013,276701,68.0,medium,medium,36.0,65.0,59.0
2015,131409,68.0,medium,high,62.0,72.0,68.0
2014,131409,67.0,medium,high,61.0,71.0,67.0
2013,131409,69.0,medium,high,65.0,74.0,73.0
2012,131409,70.0,medium,high,65.0,73.0,72.0
2012,116788,61.0,medium,low,46.0,61.0,60.0
2015,132844,77.0,high,medium,68.0,79.0,84.0
2014,132844,76.0,high,medium,66.0,78.0,83.0
2013,132844,70.0,high,medium,59.0,72.0,73.0
2012,132844,68.0,medium,medium,35.0,72.0,66.0
2015,45815,61.0,medium,medium,41.0,63.0,64.0
2014,45815,61.0,medium,medium,41.0,63.0,64.0
2015,449241,75.0,medium,low,72.0,81.0,85.0
2014,449241,75.0,medium,medium,69.0,80.0,84.0
2013,449241,70.0,medium,medium,63.0,77.0,79.0
2014,43049,61.0,medium,medium,41.0,50.0,41.0
2013,43049,62.0,medium,medium,41.0,48.0,42.0
2012,43049,65.0,medium,medium,41.0,52.0,42.0
2015,261599,74.0,medium,medium,69.0,81.0,83.0
2014,261599,68.0,medium,medium,63.0,72.0,75.0
2013,261599,64.0,medium,medium,63.0,68.0,72.0
2012,261599,65.0,medium,medium,63.0,68.0,72.0
2015,154950,65.0,medium,medium,60.0,54.0,52.0
2014,154950,62.0,medium,medium,59.0,53.0,51.0
2013,154950,61.0,medium,medium,59.0,48.0,51.0
2012,154950,51.0,medium,medium,14.0,30.0,12.0
2015,182107,62.0,medium,medium,62.0,61.0,63.0
2013,182107,62.0,medium,medium,62.0,61.0,63.0
2015,102572,70.0,medium,low,63.0,75.0,76.0
2014,102572,71.0,medium,low,62.0,74.0,79.0
2013,102572,74.0,medium,low,62.0,74.0,83.0
2012,102572,71.0,medium,low,62.0,74.0,83.0
2013,43348,65.0,medium,medium,57.0,68.0,66.0
2012,43348,65.0,medium,medium,57.0,68.0,66.0
2015,113604,61.0,medium,high,50.0,66.0,59.0
2014,113604,55.0,medium,high,39.0,68.0,58.0
2013,113604,57.0,medium,high,42.0,65.0,57.0
2015,482331,73.0,medium,medium,73.0,72.0,75.0
2014,482331,60.0,medium,medium,64.0,65.0,67.0
2013,482331,57.0,medium,medium,59.0,56.0,62.0
2015,40501,73.0,medium,medium,70.0,81.0,72.0
2014,40501,72.0,medium,medium,64.0,80.0,67.0
2013,40501,69.0,medium,medium,71.0,73.0,72.0
2012,40501,72.0,medium,medium,71.0,74.0,72.0
2015,178574,68.0,medium,high,71.0,70.0,68.0
2014,178574,68.0,medium,high,71.0,70.0,68.0
2013,178574,66.0,medium,high,68.0,71.0,68.0
2012,178574,67.0,medium,high,68.0,71.0,68.0
2015,78537,61.0,medium,medium,56.0,42.0,40.0
2014,78537,61.0,medium,medium,56.0,42.0,40.0
2013,78537,61.0,high,medium,53.0,42.0,40.0
2012,78537,56.0,medium,medium,53.0,42.0,41.0
2015,45744,75.0,low,low,61.0,84.0,83.0
2014,45744,77.0,high,medium,62.0,84.0,83.0
2013,45744,78.0,medium,medium,62.0,84.0,87.0
2012,45744,79.0,high,low,56.0,84.0,87.0
2015,23358,71.0,medium,medium,57.0,65.0,59.0
2014,23358,70.0,medium,medium,56.0,64.0,58.0
2013,23358,71.0,medium,medium,39.0,64.0,58.0
2012,23358,73.0,low,high,37.0,63.0,52.0
2015,571685,66.0,medium,medium,75.0,71.0,73.0
2014,571685,63.0,medium,medium,58.0,59.0,61.0
2014,105526,62.0,low,medium,56.0,64.0,61.0
2013,105526,63.0,medium,high,56.0,64.0,61.0
